Name Count Mean Std Sum Pvalue GEM_FBM CS_FBM "MH Count" "MH Sum" "LB Count" "LB Sum"
PA5097 14 -0.85204 0.45543 15.33664 0.00000 15.509635023 14.65760 3 3.28642 11 12.05022
PA5479 7 -0.11525 0.09741 1.38302 0.00238 15.509635023 15.39438 2 0.39515 5 0.98787
PA4628 13 -0.61417 0.38168 11.05506 0.00000 15.509635023 14.89546 3 2.61841 10 8.43665
PA4429 4 -0.05716 0.06390 0.51440 0.03527 14.9286027372 14.87145 2 0.25720 2 0.25720
PA3189 4 -0.03862 0.04318 0.34757 0.03527 15.509635023 15.47102 2 0.17378 2 0.17378
PA3188 4 -0.03862 0.04318 0.34757 0.03527 15.509635023 15.47102 2 0.17378 2 0.17378
PA3187 4 -0.03862 0.04318 0.34757 0.03527 15.509635023 15.47102 2 0.17378 2 0.17378
PA4430 4 -0.05716 0.06390 0.51440 0.03527 14.9286027372 14.87145 2 0.25720 2 0.25720
PA3736 4 -0.05317 0.05945 0.47852 0.03527 15.3077931344 15.25462 2 0.23926 2 0.23926
PA1819 9 -1.89672 1.54867 28.45080 0.00043 15.509635023 13.61292 2 6.32240 7 22.12840
PA1818 4 -0.02870 0.03209 0.25831 0.03527 14.9286027372 14.89990 2 0.12916 2 0.12916
PA3735 4 -0.05317 0.05945 0.47852 0.03527 15.3077931344 15.25462 2 0.23926 2 0.23926
PA4587 4 -0.05716 0.06390 0.51440 0.03527 14.9286027372 14.87145 2 0.25720 2 0.25720
PA4031 4 -0.07164 0.08009 0.64473 0.03527 12.9506978822 12.87906 2 0.32236 2 0.32236
PA4431 4 -0.05716 0.06390 0.51440 0.03527 14.9286027372 14.87145 2 0.25720 2 0.25720
PA1999 4 -0.02870 0.03209 0.25831 0.03527 14.9286027372 14.89990 2 0.12916 2 0.12916
PA0447 4 -0.02870 0.03209 0.25831 0.03527 14.9286027372 14.89990 2 0.12916 2 0.12916
PA5100 4 -0.04674 0.07751 0.70112 0.04057 14.8141222116 14.76738 1 0.17528 3 0.52584
PA5092 4 -0.04674 0.07751 0.70112 0.04057 14.8141222116 14.76738 1 0.17528 3 0.52584
PA3190 4 -0.03862 0.04318 0.34757 0.03527 15.509635023 15.47102 2 0.17378 2 0.17378
PA3193 4 -0.03862 0.04318 0.34757 0.03527 15.509635023 15.47102 2 0.17378 2 0.17378
PA5170 9 -0.94836 0.77433 14.22540 0.00043 15.509635023 14.56128 2 3.16120 7 11.06420
PA3366 4 -0.04674 0.07751 0.70112 0.04057 14.8141222116 14.76738 1 0.17528 3 0.52584
