Name Count Mean Std Sum Pvalue GEM_FBM CS_FBM "MH Count" "MH Sum" "LB Count" "LB Sum" "PBM Count" "PBM Sum" PVal(cont)
PA4429 4 -0.04287 0.06062 0.51440 0.03881 14.9286027372 14.88574 2 0.25720 1 0.12860 1 0.12860 0.45823
PA3189 4 -0.02896 0.04096 0.34757 0.03881 15.509635023 15.48067 2 0.17378 1 0.08689 1 0.08689 0.45823
PA3188 4 -0.02896 0.04096 0.34757 0.03881 15.509635023 15.48067 2 0.17378 1 0.08689 1 0.08689 0.45823
PA3187 4 -0.02896 0.04096 0.34757 0.03881 15.509635023 15.48067 2 0.17378 1 0.08689 1 0.08689 0.45823
PA4430 4 -0.04287 0.06062 0.51440 0.03881 14.9286027372 14.88574 2 0.25720 1 0.12860 1 0.12860 0.45823
PA3736 4 -0.03988 0.05639 0.47852 0.03881 15.3077931344 15.26792 2 0.23926 1 0.11963 1 0.11963 0.45823
PA1818 4 -0.02153 0.03044 0.25831 0.03881 14.9286027372 14.90708 2 0.12916 1 0.06458 1 0.06458 0.45823
PA3735 4 -0.03988 0.05639 0.47852 0.03881 15.3077931344 15.26792 2 0.23926 1 0.11963 1 0.11963 0.45823
PA4587 4 -0.04287 0.06062 0.51440 0.03881 14.9286027372 14.88574 2 0.25720 1 0.12860 1 0.12860 0.45823
PA4031 4 -0.05373 0.07598 0.64473 0.03881 12.9506978822 12.89697 2 0.32236 1 0.16118 1 0.16118 0.45823
PA4431 4 -0.04287 0.06062 0.51440 0.03881 14.9286027372 14.88574 2 0.25720 1 0.12860 1 0.12860 0.45823
PA1999 4 -0.02153 0.03044 0.25831 0.03881 14.9286027372 14.90708 2 0.12916 1 0.06458 1 0.06458 0.45823
PA0447 4 -0.02153 0.03044 0.25831 0.03881 14.9286027372 14.90708 2 0.12916 1 0.06458 1 0.06458 0.45823
PA5100 11 -0.07141 0.08612 1.92808 0.00026 14.8141222116 14.74271 1 0.17528 6 1.05168 4 0.70112 0.32343
PA5092 11 -0.07141 0.08612 1.92808 0.00026 14.8141222116 14.74271 1 0.17528 6 1.05168 4 0.70112 0.32343
PA1590 10 -0.24145 0.31482 6.51922 0.00059 15.509635023 15.26818 2 1.30384 6 3.91153 2 1.30384 0.79960
PA3190 4 -0.02896 0.04096 0.34757 0.03881 15.509635023 15.48067 2 0.17378 1 0.08689 1 0.08689 0.45823
PA4628 19 -0.59184 0.38451 15.97969 0.00000 15.509635023 14.91779 2 1.72479 12 10.03657 5 4.21833 0.84904
PA3193 4 -0.02896 0.04096 0.34757 0.03881 15.509635023 15.48067 2 0.17378 1 0.08689 1 0.08689 0.45823
PA2041 10 -0.21953 0.28623 5.92725 0.00059 14.9169101177 14.69738 2 1.18545 6 3.55635 2 1.18545 0.79960
PA2042 10 -0.21953 0.28623 5.92725 0.00059 14.9169101177 14.69738 2 1.18545 6 3.55635 2 1.18545 0.79960
PA3366 11 -0.07141 0.08612 1.92808 0.00026 14.8141222116 14.74271 1 0.17528 6 1.05168 4 0.70112 0.32343
PA5097 18 -0.73032 0.51641 19.71853 0.00000 15.509635023 14.77932 2 2.19095 11 12.05022 5 5.47737 0.41037
